tweet_id,image_numero,stance_target,stance_label
1545361699779317760,0,Taiwan of China,Support
1665648412476178436,1,Taiwan of China,Neutral
1603646711246688256,4,Taiwan of China,Support
1646794925902819329,1,Taiwan of China,Support
1534789432179449856,1,Taiwan of China,Neutral
1634115705313579008,0,Taiwan of China,Support
1660464477152870400,2,Taiwan of China,Support
1528627482781687808,0,Taiwan of China,Neutral
1550527464946147328,0,Taiwan of China,Support
1531412161826029570,0,Taiwan of China,Support
1642103485515837441,2,Taiwan of China,Support
1647775538755547137,0,Taiwan of China,Support
1587786590147203073,1,Taiwan of China,Support
1628933473732898816,0,Taiwan of China,Support
1633320167638970369,0,Taiwan of China,Support
1647506997812555777,0,Taiwan of China,Support
1633485322293252097,0,Taiwan of China,Neutral
1661721758804877312,0,Taiwan of China,Support
1557343200733536262,0,Taiwan of China,Neutral
1647565500359262217,0,Taiwan of China,Support
1529271242972594176,1,Taiwan of China,Support
1527795971475640322,0,Taiwan of China,Support
1554517524439388160,0,Taiwan of China,Support
1613210692924092416,2,Taiwan of China,Support
1660490486988304384,3,Taiwan of China,Support
1584756451171782656,1,Taiwan of China,Support
1493559087711551488,1,Taiwan of China,Support
1486205481102483459,0,Taiwan of China,Neutral
1663933851385700352,0,Taiwan of China,Support
1554499596155494400,0,Taiwan of China,Oppose
1665329233772810242,0,Taiwan of China,Support
1645752957613518849,0,Taiwan of China,Support
1642849749400428544,1,Taiwan of China,Support
1604796281435848705,1,Taiwan of China,Support
1643440837282631680,1,Taiwan of China,Support
1561592562846208001,0,Taiwan of China,Support
1555900523232260096,1,Taiwan of China,Support
1510473942607097863,1,Taiwan of China,Support
1643988089629720577,2,Taiwan of China,Neutral
1615350374441054209,0,Taiwan of China,Support
1580176185148903424,1,Taiwan of China,Support
1553190979372724224,1,Taiwan of China,Support
1540399721323298816,1,Taiwan of China,Support
1554438341860306945,0,Taiwan of China,Oppose
1547007218553618432,0,Taiwan of China,Support
1565972879237267456,1,Taiwan of China,Support
1524612815436533761,2,Taiwan of China,Support
1491075326239473665,1,Taiwan of China,Support
1626510504490573825,0,Taiwan of China,Support
1486205481102483459,0,Taiwan of China,Support
1529384722673315842,0,Taiwan of China,Support
1498453937653161986,0,Taiwan of China,Support
1666913058365554690,0,Taiwan of China,Support
1574949039874854912,0,Taiwan of China,Support
