tweet_id,image_numero,stance_target,stance_label
831486583375294464,0,Merger and acquisition between Aetna and Humana.,Refute
621802908091330560,0,Merger and acquisition between Aetna and Humana.,Comment
692678587837616128,0,Merger and acquisition between Aetna and Humana.,Comment
657524717033664513,0,Merger and acquisition between Anthem and Cigna.,Unrelated
657524717033664513,1,Merger and acquisition between Anthem and Cigna.,Unrelated
938117082985697287,0,Merger and acquisition between CVS Health and Aetna.,Comment
612997700074606592,0,Merger and acquisition between Aetna and Humana.,Unrelated
929714148363128832,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
955776940627120128,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
937695978236383233,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
984516426089291776,0,Merger and acquisition between Disney and 21st Century Fox.,Support
939590815944527873,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1247117184502988801,0,Merger and acquisition between Anthem and Cigna.,Unrelated
931676850644029441,0,Merger and acquisition between CVS Health and Aetna.,Comment
1001132741830856704,0,Merger and acquisition between Anthem and Cigna.,Unrelated
1001132741830856704,0,Merger and acquisition between Aetna and Humana.,Unrelated
942108164278902789,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
919262815168421888,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
960708411049562112,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
942862682109235208,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
757427384840630272,0,Merger and acquisition between Aetna and Humana.,Comment
697899187396964352,0,Merger and acquisition between Aetna and Humana.,Support
959127961575219200,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
918271482324598784,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
899567464295608324,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
945089206489030656,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
937485371864051712,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1065009391093628928,0,Merger and acquisition between CVS Health and Aetna.,Comment
936281440760877057,0,Merger and acquisition between CVS Health and Aetna.,Support
1068680329517424641,0,Merger and acquisition between CVS Health and Aetna.,Support
938184863751995392,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
938184863751995392,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
928245256289701891,0,Merger and acquisition between Disney and 21st Century Fox.,Support
964558309637414914,0,Merger and acquisition between CVS Health and Aetna.,Comment
1318917007958474754,0,Merger and acquisition between Anthem and Cigna.,Unrelated
941411017325658112,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
938289162490466304,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
898238401681477632,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
647059764204072960,0,Merger and acquisition between Aetna and Humana.,Unrelated
647059764204072960,0,Merger and acquisition between Anthem and Cigna.,Unrelated
943324235472052224,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
948581432708026368,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
1042161525568495616,0,Merger and acquisition between CVS Health and Aetna.,Refute
946867703645696000,0,Merger and acquisition between CVS Health and Aetna.,Support
947995918594465793,0,Merger and acquisition between CVS Health and Aetna.,Comment
797454274078842880,0,Merger and acquisition between Aetna and Humana.,Unrelated
941509389302632450,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
938166371497607168,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
815081847797456896,0,Merger and acquisition between Anthem and Cigna.,Comment
829586969709588480,0,Merger and acquisition between Anthem and Cigna.,Refute
927578634071756801,0,Merger and acquisition between CVS Health and Aetna.,Unrelated
972058201565945857,0,Merger and acquisition between CVS Health and Aetna.,Comment
